,plant_id,name,scientific_name,soil_moisture,temperature,recording_taken,last_watered,botanist_name,botanist_email,botanist_phone,origin_city,origin_country,origin_latitude,origin_longitude,image_license_url,image_original_url,image_thumbnail
0,1,Venus flytrap,,89.85263628934968,15.936212614156634,2026-01-27T16:11:45.352902,2026-01-27T13:12:19,Sherry Campbell,sherry.campbell@lnhm.co.uk,+1-662-659-8097x8928,Mitchellfurt,Suriname,81.2003535,7.815683,,,
1,2,Corpse flower,,91.66294245039683,13.595470030962387,2026-01-27T16:11:46.754014,2026-01-27T13:51:43,Jacob Hernandez,jacob.hernandez@lnhm.co.uk,8268602780,Lake Jill,United States Minor Outlying Islands,62.501933,-20.640567,,,
2,3,Rafflesia arnoldii,,95.34737376027397,13.955459880866202,2026-01-27T16:11:46.984021,2026-01-27T14:52:32,Elizabeth Crawford,elizabeth.crawford@lnhm.co.uk,001-222-509-7760x0558,Edwardsstad,New Zealand,-73.9289085,-106.786584,,,
3,4,,,,,,,,,,,,,,,,
4,5,Pitcher plant,Sarracenia catesbaei,93.39415347948952,16.83392622130165,2026-01-27T16:11:48.613637,2026-01-27T14:11:02,Jennifer Blanchard,jennifer.blanchard@lnhm.co.uk,327.732.2111,Lake Lydiaburgh,Pitcairn Islands,17.7169705,-17.829700,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151227Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=ed96f7e15a0d2a9fa432c04059ca302d3af1696b4253d4c75d226a48cfa0320c,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151227Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=ed96f7e15a0d2a9fa432c04059ca302d3af1696b4253d4c75d226a48cfa0320c
5,6,Wollemi pine,Wollemia nobilis,95.31765606860903,12.677873078145467,2026-01-27T16:11:50.013948,2026-01-27T14:48:48,Robert Walton,robert.walton@lnhm.co.uk,678.633.5125,South Thomas,Estonia,-65.203977,-124.152631,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T091509Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=627c8c6ff072c0d15a3b1930f1357f231c3ec265e2ba4924b8dfeaa694689e63,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T091509Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=627c8c6ff072c0d15a3b1930f1357f231c3ec265e2ba4924b8dfeaa694689e63
6,8,Bird of paradise,Heliconia schiedeana 'Fire and Ice',95.12603978715245,16.12969870084289,2026-01-27T16:11:50.540507,2026-01-27T14:47:07,Anna Davis,anna.davis@lnhm.co.uk,(601)561-8163x5240,South Tina,United Arab Emirates,-60.9363685,-152.763324,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260123%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260123T173029Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=673717c1b427e7c47d0c69218154fd52b34f6c6c052c738468264a4d44d92402,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260123%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260123T173029Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=673717c1b427e7c47d0c69218154fd52b34f6c6c052c738468264a4d44d92402
7,9,Cactus,Pereskia grandifolia,94.56279532720232,15.466882099770753,2026-01-27T16:11:51.632431,2026-01-27T14:38:15,Virginia Phillips,virginia.phillips@lnhm.co.uk,8273002266,Gambleshire,Nauru,-42.9962205,-123.053507,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T091026Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=7cea33139ebb74f7ce797617a9e46790fd5da529ae966885b3f5700f9ad579f8,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T091026Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=7cea33139ebb74f7ce797617a9e46790fd5da529ae966885b3f5700f9ad579f8
8,10,Dragon tree,,90.10995758248848,17.303013498685488,2026-01-27T16:11:52.696027,2026-01-27T13:13:02,Melinda Spencer,melinda.spencer@lnhm.co.uk,(242)257-5669x3173,Stevensberg,Hungary,-82.3459075,-13.080896,,,
9,11,Asclepias Curassavica,Asclepias curassavica,89.28616473352999,16.054593036154106,2026-01-27T16:11:53.970470,2026-01-27T13:10:18,James Brooks,james.brooks@lnhm.co.uk,001-745-718-6720x493,Flowersberg,United Kingdom,-72.9649155,127.183588,https://creativecommons.org/licenses/by/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/1007_asclepias_curassavica/og/51757177616_7ca0baaa87_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151651Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=9467e971cad38eb6c3befd458e03ab95fcc0878d30d492304564ecfdfe1f759e,https://s3.us-central-1.wasabisys.com/perenual/species_image/1007_asclepias_curassavica/thumbnail/51757177616_7ca0baaa87_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151651Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=c8c4bd0bc461e065c313a54fcb10bacee520135451ff363a605c3175309a26b4
10,12,Brugmansia X Candida,,90.52739664864865,14.823717922889243,2026-01-27T16:11:55.103400,2026-01-27T13:22:31,Anthony Oconnell,anthony.oconnell@lnhm.co.uk,(993)782-7225,Gomezmouth,Belgium,-40.5645435,83.998008,,,
11,13,Canna ‘Striata’,,94.21873516996047,14.585747601273122,2026-01-27T16:11:56.640012,2026-01-27T14:34:26,Deborah Obrien,deborah.obrien@lnhm.co.uk,321-818-7487x25137,Millerton,Cyprus,-32.9029575,-146.302804,,,
